piscina,apartamento,gas,amueblado,patio,nauta,cisterna,finca,portal,hospital,escuela,carro,terraza,cuartos,banos,salas,plantas,cocinas,comedores,desahogos,pisos,splits,refrigeradores,garajes,tanques,price,Provincias,Municipios
0,0,1,0,0,0,1,0,1,0,0,0,1,2,2,0,2,2,0,0,0,3,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,1,3,2,0,2,2,0,4,0,0,0,0,2,30000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,3,2,2,0,0,0,0,0,0,2,39000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,1,0,0,0,1,3,2,3,2,2,0,0,0,0,0,0,2,2500.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,40000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,9500.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,4,2,2,0,0,0,0,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,1,1,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,1,3,2,0,2,2,0,0,0,0,0,0,2,16000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,23000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,1,1,5,2,2,2,2,0,4,0,3,1,0,2,8000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,90000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,7000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,16000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,2,2,20000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,17000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,3,2,0,2,2,3,4,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,120000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,7,2,0,2,2,0,0,0,0,0,0,2,35000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,1,3,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,1500.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,1,0,0,0,0,1,3,2,0,2,2,0,0,0,0,0,0,2,8500.0, La Habana,Arroyo Naranjo
